Type,GlobalId,Name,Tag
IfcWall,3Y4YRln2r91vflHcHE5IVJ,Basic Wall:Interior - Furring (38 mm Stud):217417,217417
IfcWall,3Y4YRln2r91vflHcHE5ITp,Basic Wall:Interior - Furring (38 mm Stud):217577,217577
IfcWall,3Y4YRln2r91vflHcHE5ITm,Basic Wall:Interior - Furring (38 mm Stud):217578,217578
IfcWall,3Y4YRln2r91vflHcHE5ITn,Basic Wall:Interior - Furring (38 mm Stud):217579,217579
IfcWall,3Y4YRln2r91vflHcHE5ITs,Basic Wall:Interior - Furring (38 mm Stud):217580,217580
IfcDoor,1hOSvn6df7F8_7GcBWlRGQ,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596,146596
IfcDoor,1hOSvn6df7F8_7GcBWlRH8,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678,146678
IfcDoor,1hOSvn6df7F8_7GcBWlS8Z,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173,150173
IfcDoor,1hOSvn6df7F8_7GcBWlS9F,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257,150257
IfcDoor,1hOSvn6df7F8_7GcBWlSFK,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378,150378
IfcDoor,1hOSvn6df7F8_7GcBWlSDm,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478,150478
IfcDoor,2OBrcmyk58NupXoVOHUuXp,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734,159734
IfcDoor,2OBrcmyk58NupXoVOHUvVV,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,159834
IfcDoor,2OBrcmyk58NupXoVOHUvR4,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,160065
IfcDoor,2OBrcmyk58NupXoVOHUvPL,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,160208
IfcDoor,1s1jVhK8z0pgKYcr9jt781,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,171853
IfcDoor,1s1jVhK8z0pgKYcr9jt7AB,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975,171975
IfcDoor,1aj$VJZFn2TxepZUBcKp$i,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720,203720
IfcDoor,1aj$VJZFn2TxepZUBcKpac,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034,204034
IfcWindow,1hOSvn6df7F8_7GcBWlR72,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788,145788
IfcWindow,1hOSvn6df7F8_7GcBWlRBU,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016,146016
IfcWindow,1hOSvn6df7F8_7GcBWlRLx,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885,146885
IfcWindow,1hOSvn6df7F8_7GcBWlRRL,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051,147051
IfcWindow,1hOSvn6df7F8_7GcBWlSXO,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686,147686
IfcWindow,1hOSvn6df7F8_7GcBWlSga,M_Fixed:819mm x 759mm:819mm x 759mm:147994,147994
IfcWindow,1hOSvn6df7F8_7GcBWlSp1,M_Casement:819mm x 759mm:819mm x 759mm:148607,148607
IfcWindow,1hOSvn6df7F8_7GcBWlSnC,M_Fixed:819mm x 759mm:819mm x 759mm:148722,148722
IfcWindow,1hOSvn6df7F8_7GcBWlS_W,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278,149278
IfcWindow,1hOSvn6df7F8_7GcBWlS2V,M_Fixed:819mm x 759mm:819mm x 759mm:149537,149537
IfcWindow,1hOSvn6df7F8_7GcBWlS1M,M_Casement:819mm x 759mm:819mm x 759mm:149736,149736
IfcWindow,1hOSvn6df7F8_7GcBWlS4Q,M_Fixed:819mm x 759mm:819mm x 759mm:149924,149924
IfcWindow,1l0GAJtRTFv8$zmKJOH4$e,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318,180318
IfcWindow,1l0GAJtRTFv8$zmKJOH4u1,M_Fixed:819mm x 759mm:819mm x 759mm:180663,180663
IfcWindow,1l0GAJtRTFv8$zmKJOH4qs,M_Fixed:819mm x 759mm:819mm x 759mm:180864,180864
IfcWindow,1l0GAJtRTFv8$zmKJOH4oq,M_Casement:819mm x 759mm:819mm x 759mm:180994,180994
IfcWindow,1l0GAJtRTFv8$zmKJOH4pU,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096,181096
IfcWindow,1l0GAJtRTFv8$zmKJOH4kJ,M_Fixed:819mm x 759mm:819mm x 759mm:181285,181285
IfcWindow,1l0GAJtRTFv8$zmKJOH4gQ,M_Casement:819mm x 759mm:819mm x 759mm:181548,181548
IfcWindow,1l0GAJtRTFv8$zmKJOH4hv,M_Fixed:819mm x 759mm:819mm x 759mm:181583,181583
IfcWindow,1l0GAJtRTFv8$zmKJOH4aS,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930,181930
IfcWindow,1l0GAJtRTFv8$zmKJOH4ZZ,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101,182101
IfcWindow,1Eo2$BaHX42AEkDvQQDocD,M_Skylight:1180 x 1170mm:1180 x 1170mm:185337,185337
IfcWindow,1Eo2$BaHX42AEkDvQQDoy2,M_Skylight:1180 x 1170mm:1180 x 1170mm:185718,185718
IfcSlab,2O2Fr$t4X7Zf8NOew3FK4F,Floor:127mm Slab on Grade:141232,141232
IfcSlab,2O2Fr$t4X7Zf8NOew3FKcz,Floor:127mm Slab on Grade:143106,143106
IfcSlab,1hOSvn6df7F8_7GcBWlRqU,Floor:Residential - Wood Joist with Subflooring:144800,144800
IfcSlab,1hOSvn6df7F8_7GcBWlRrM,Floor:Residential - Wood Joist with Subflooring:144872,144872
IfcSlab,2OBrcmyk58NupXoVOHUtC0,Floor:Finish Floor - Wood:169093,169093
IfcSlab,2OBrcmyk58NupXoVOHUtDX,Floor:Finish Floor - Wood:169188,169188
IfcSlab,2OBrcmyk58NupXoVOHUtBP,Floor:Finish Floor - Wood:169308,169308
IfcSlab,2OBrcmyk58NupXoVOHUt8F,Floor:Finish Floor - Wood:169354,169354
IfcSlab,2OBrcmyk58NupXoVOHUt8s,Floor:Finish Floor - Wood:169395,169395
IfcSlab,2OBrcmyk58NupXoVOHUt5W,Floor:Finish Floor - Wood:169701,169701
IfcSlab,2OBrcmyk58NupXoVOHUt2f,Floor:Finish Floor - Ceramic Tile:169772,169772
IfcSlab,2OBrcmyk58NupXoVOHUt0F,Floor:Finish Floor - Ceramic Tile:169866,169866
IfcSlab,2OBrcmyk58NupXoVOHUtxr,Floor:Finish Floor - Wood:170352,170352
IfcSlab,2OBrcmyk58NupXoVOHUtoa,Floor:Finish Floor - Ceramic Tile:170785,170785
IfcSlab,2OBrcmyk58NupXoVOHUtjR,Floor:Finish Floor - Ceramic Tile:171230,171230
IfcSlab,2OBrcmyk58NupXoVOHUtju,Floor:Finish Floor - Ceramic Tile:171261,171261
IfcSlab,2OBrcmyk58NupXoVOHUtgP,Floor:Finish Floor - Wood:171292,171292
IfcSlab,2OBrcmyk58NupXoVOHUten,Floor:Finish Floor - Ceramic Tile:171444,171444
IfcSlab,3ThA22djr8AQQ9eQMA5s7I,Basic Roof:Live Roof over Wood Joist Flat Roof:184483,184483
IfcSlab,1CZILmCaHETO8tf3SgGEWh,Floor:150mm Exterior Slab on Grade:216507,216507
IfcSlab,1CZILmCaHETO8tf3SgGEXu,Floor:150mm Exterior Slab on Grade:216552,216552
